stop_id,gini_walk15,gini_multimodal,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
048505,0.263711,0.251199,0.447052,0.468249
048506,0.263442,0.256184,0.447913,0.454256
048519,0.134454,0.127299,0.301364,0.379979
049170,0.130280,0.130413,0.264068,0.305648
049171,0.130953,0.129296,0.264444,0.302135
049172,0.127770,0.128447,0.304552,0.293650
049177,0.207920,0.221268,0.502390,0.476130
049178,0.203044,0.210105,0.504940,0.484702
049180,0.183163,0.195495,0.456366,0.461869
049182,0.165935,0.180068,0.376053,0.449423
049183,0.166035,0.182384,0.375821,0.429968
049185,0.152811,0.130163,0.176181,0.314530
049900,0.132057,0.174050,0.371074,0.383960
050184,0.122551,0.131251,0.331932,0.290768
050279,0.101254,0.130249,0.086214,0.246879
056123,0.095940,0.099092,0.080875,0.144799
056124,0.101589,0.098063,0.089727,0.167686
056161,0.121511,0.126169,0.253719,0.324548
056162,0.111164,0.107561,0.124245,0.212033
056163,0.111607,0.119255,0.131944,0.283644
056165,0.118968,0.103891,0.094378,0.179393
056166,0.120869,0.120295,0.090447,0.298719
056168,0.107953,0.107490,0.030897,0.196267
056169,0.107953,0.118846,0.030592,0.299398
056170,0.114903,0.111732,0.007225,0.155379
056172,0.075272,0.111732,0.017403,0.155379
056173,0.114903,0.107490,0.010901,0.196267
056174,0.114222,0.106934,0.007596,0.189438
056187,0.106700,0.106934,0.010548,0.189438
056188,0.075272,0.111176,0.017403,0.195835
056189,0.110945,0.118768,0.323626,0.329381
061136,0.128547,0.127431,0.392378,0.413375
061188,0.132878,0.138288,0.451973,0.402691
061222,0.133140,0.138243,0.451163,0.413012
061223,0.136684,0.137442,0.417903,0.409688
061224,0.142693,0.133378,0.416062,0.420007
061225,0.122175,0.134044,0.365553,0.431108
061226,0.135998,0.143198,0.451356,0.423825
061227,0.136227,0.133859,0.447582,0.408762
061231,0.122816,0.146283,0.406363,0.433821
061232,0.122930,0.130747,0.403994,0.409238
061233,0.118517,0.164222,0.087629,0.317700
061234,0.111539,0.135877,0.087896,0.193290
061236,0.132136,0.130318,0.276257,0.238230
061237,0.133534,0.132245,0.279472,0.233042
061271,0.143885,0.135137,0.393470,0.388816
061272,0.124534,0.146492,0.224744,0.314878
